name,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,cuisines,highlights,all_reviews_count,photo_count
Hotel Vishranti,18.5736002438,73.8856825233,650,2,3.7,245,"North Indian, Chinese, Malwani, Mughlai, Kebab","['Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned']",38,13
Fry Pan,18.5742654259,73.8846968114,350,1,3.9,91,"Chinese, North Indian","['Cash', 'Dinner', 'Takeaway Available', 'Outdoor Seating', 'Free Parking']",42,27
Gokul Sweet,18.5735919807,73.8846492022,200,1,0,0,Mithai,"['No Seating Available', 'Cash', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Pure Veg', 'Digital Payments Accepted', 'Desserts and Bakes']",0,1
Amigo Bakers,18.5735989726,73.8846099749,400,1,0,4,"Bakery, Desserts","['Cash', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Delivery', 'No Seating Available', 'Desserts and Bakes', 'Digital Payments Accepted', 'Pure Veg']",1,2
Food 365,18.5740486779,73.8844252378,400,1,4.0,447,Fast Food,"['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Free Parking', 'Indoor Seating']",7,5
Mahalaxmi Foods,18.5737289582,73.8842884451,150,1,0,0,"South Indian, Street Food","['Dinner', 'Lunch', 'Takeaway Available', 'Cash', 'Indoor Seating', 'Pure Veg', 'Free Parking', 'Digital Payments Accepted']",0,0
Hotel Jai Malhar Biryani House,18.5737235554,73.8842743635,600,2,3.0,18,"Maharashtrian, North Indian","['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted']",8,3
Sunshine Family Restaurant,18.5737248266,73.8861733675,500,2,3.9,278,"North Indian, Chinese, Biryani, Malwani","['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Indoor Seating', 'Sodexo']",35,15
Abhiruchi,18.5733069019,73.8843799755,700,2,3.0,94,"North Indian, Chinese","['Cash', 'Lunch', 'Credit Card', 'Takeaway Available', 'Dinner', 'Debit Card', 'Indoor Seating', 'Outdoor Seating']",48,22
Konkan Swad,18.5732995921,73.8840188831,300,1,3.4,81,"Konkan, Maharashtrian","['Delivery', 'Dinner', 'Takeaway Available', 'Lunch', 'Credit Card', 'Cash', 'Debit Card', 'Indoor Seating', 'Free Parking', 'Digital Payments Accepted']",4,5
Samruddhi Pure Veg,18.5736552255,73.8837540150,500,2,3.4,1566,"North Indian, Chinese, Maharashtrian, Beverages","['Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Air Conditioned', 'Pure Veg', 'Outdoor Seating', 'Indoor Seating', 'Sodexo', 'Digital Payments Accepted']",90,20
Baithak,18.5731340110,73.8834723830,500,2,3.1,19,Maharashtrian,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned']",7,3
Srushti Garden,18.5730221404,73.8829483464,600,2,3.3,178,"North Indian, South Indian, Chinese, Street Food, Beverages","['Credit Card', 'Takeaway Available', 'Lunch', 'Delivery', 'Dinner', 'Debit Card', 'Cash', 'Outdoor Seating', 'Pure Veg', 'Digital Payments Accepted']",14,29
